,ID,gene_assignment,logFC,AveExpr,t,P.Value,adj.P.Val,B
1991,7945445, LMNTD2 ,0.050776019,2.535054077,1.357879521,0.182574002,0.999925768,-4.7976362
1992,8168359, NHSL2 ,-0.059501453,2.261159964,-1.357712268,0.18262663,0.999925768,-4.797827009
1993,8083092, ZBTB38 ,0.065957774,2.349219971,1.357699586,0.182630621,0.999925768,-4.797841477
1994,8070563, C21orf128 ,-0.033726982,2.694242927,-1.357652729,0.182645367,0.999925768,-4.79789493
1995,8020508, RIOK3 ,0.046048431,2.123118255,1.357477521,0.182700514,0.999925768,-4.798094785
1996,8067409, LAMA5 ,-0.027557472,2.474808379,-1.357357656,0.18273825,0.999925768,-4.798231499
1997,7896533,,0.225683316,2.159726894,1.35703626,0.18283946,0.999925768,-4.798598018
1998,8033352, MBD3L2 ,-0.060452468,2.535481977,-1.356984661,0.182855713,0.999925768,-4.798656853
1999,8056566,,-0.103070724,2.288888364,-1.356959305,0.1828637,0.999925768,-4.798685764
2000,8037283, PSG4 ,-0.051460681,2.619726918,-1.356880639,0.182888482,0.999925768,-4.798775459
2001,8016371, SCRN2 ,0.036710243,2.447002753,1.356527333,0.182999814,0.999925768,-4.799178237
2002,8137847, BRAT1 ,-0.035632637,2.57883364,-1.356515603,0.183003512,0.999925768,-4.799191608
2003,7959234, HNF1A ,-0.050778698,2.466483184,-1.356490953,0.183011281,0.999925768,-4.799219705
2004,8060609, RN7SL555P ,0.049844364,2.618917512,1.356442073,0.183026689,0.999925768,-4.799275421
2005,7981111, DICER1 ,0.092448881,2.105430225,1.356387578,0.183043868,0.999925768,-4.799337536
2006,8163019, ACTL7B ,-0.037839853,2.664438326,-1.356074789,0.183142494,0.999925768,-4.799694012
2007,7956281, GPR182 ,0.033497018,2.620240779,1.356019102,0.183160057,0.999925768,-4.799757469
2008,8099037, MFSD10 ,-0.037346831,2.676715561,-1.355731314,0.183250843,0.999925768,-4.800085375
2009,8142098, ATXN7L1 ,-0.151462412,1.907568264,-1.355476528,0.183331247,0.999925768,-4.800375628
2010,7892574,,-0.211340555,2.162402057,-1.354572917,0.183616624,0.999925768,-4.801404629
2011,7893998,,0.127630166,2.384869512,1.354403339,0.183670218,0.999925768,-4.80159767
2012,7960544, VAMP1 ,-0.050687349,2.320882982,-1.354207665,0.183732074,0.999925768,-4.80182039
2013,8030187, CGB ,-0.066445378,2.982407546,-1.353884035,0.183834415,0.999925768,-4.802188691
2014,7893926,,0.081761553,2.815632243,1.353654689,0.183906967,0.999925768,-4.802449646
2015,8037991, LIG1 ,-0.042366442,2.251644854,-1.35355811,0.183937526,0.999925768,-4.802559523
2016,7968898, GPALPP1 ,0.053009109,2.301337157,1.353399325,0.183987776,0.999925768,-4.802740158
2017,7914592, TMEM54 ,-0.038205178,2.603419592,-1.353093673,0.184084534,0.999925768,-4.803087816
2018,8065359, CD93 ,0.04322189,2.327765278,1.352937443,0.184134006,0.999925768,-4.803265489
2019,7991722, GOLGA6L10 ,-0.058633273,2.385402453,-1.352931307,0.184135949,0.999925768,-4.803272466
2020,8018646, FOXJ1 ,-0.06469559,2.297199039,-1.35253955,0.184260049,0.999925768,-4.803717912
2021,7939946, OR5D18 ,-0.061753179,2.513396693,-1.352213775,0.184363296,0.999925768,-4.804088244
2022,8124413, HIST1H4D ,-0.055104076,2.418400465,-1.35208104,0.184405377,0.999925768,-4.804239112
2023,8139769, LOC401357 ,-0.04573638,2.874438918,-1.352035751,0.184419736,0.999925768,-4.804290584
2024,7950965, TRIM64B ,0.051655904,2.151302232,1.35158365,0.184563127,0.999925768,-4.804804328
2025,8159004, SNORD24 ,0.056462258,2.253374818,1.3515358,0.184578309,0.999925768,-4.804858694
2026,8180213,,-0.05001458,2.411107264,-1.351528231,0.18458071,0.999925768,-4.804867293
2027,7896508,,0.126773399,2.574503983,1.351283006,0.184658529,0.999925768,-4.805145879
2028,7895190,,0.157225722,2.011318118,1.35091237,0.184776193,0.999925768,-4.805566853
2029,8139160, FAM183B ,-0.162044821,2.265779954,-1.350591202,0.184878199,0.999925768,-4.805931556
2030,7907297, FMO4 ,0.046530738,2.448477937,1.35032542,0.184962647,0.999925768,-4.806233307
2031,8026013, WDR83 ,-0.051220051,2.342787909,-1.350083807,0.185039441,0.999925768,-4.806507572
2032,7896180,,0.077529562,2.287004732,1.350077239,0.185041529,0.999925768,-4.806515026
2033,8015016, TNS4 ,-0.041647833,2.469979753,-1.349850174,0.185113722,0.999925768,-4.806772737
2034,7905918, EFNA3 ,-0.057181376,2.257828103,-1.349098787,0.185352774,0.999925768,-4.807625255
2035,8163896, STOM ,-0.045645053,2.340836292,-1.34886443,0.185427382,0.999925768,-4.807891067
2036,7896069,,0.192269492,1.948311484,1.348469244,0.185553244,0.999925768,-4.808339202
2037,7893613,,0.06910245,3.341545871,1.348335217,0.185595945,0.999925768,-4.80849116
2038,8034615, TRMT1 ,0.045502859,2.290588596,1.34833318,0.185596594,0.999925768,-4.808493469
2039,8076302, CHADL ,0.048859464,2.529010189,1.348284218,0.185612195,0.999925768,-4.808548979
2040,7901212, UQCRH ,0.068534005,2.356592442,1.348158491,0.185652261,0.999925768,-4.808691509
2041,7968260, GSX1 ,0.053087947,2.381330298,1.347931911,0.185724483,0.999925768,-4.80894834
2042,8031260, KIR3DL3 ,0.072322771,2.215906507,1.347534864,0.185851093,0.999925768,-4.809398307
2043,7895990,,-0.111106308,2.417865685,-1.347486566,0.185866499,0.999925768,-4.809453034
2044,7932786,,-0.062152763,2.43559954,-1.34708733,0.185993882,0.999925768,-4.809905347
2045,8120579, C6orf57 ,-0.059836238,2.105695216,-1.34641139,0.186209705,0.999925768,-4.810670877
